Chile	B-LOCATION
Earthquake	O
5	B-SEVERITY
Dead	B-IMPACT
Several	B-SEVERITY
Seriously	B-IMPACT
Injured	I-IMPACT
http://t.co/9v1Xr25bNg	O
RT	O
@jarekkuzniar	O
Nowe	O
ZDJECIA	O
z	O
#Chile	O
"@RT_com	O
Damage	B-IMPACT
&	O
fires	B-IMPACT
in	B-MODIFIER
northern	I-MODIFIER
#Chile	O
following	O
8.2	O
quake	O
http://t.co/6pXO7G4VqV	O
http://t.co/…	O
RT	O
@TIME	O
See	O
India's	O
rescue	O
operations	O
in	O
the	O
villages	O
most	O
affected	O
by	O
Nepal's	O
deadly	O
earthquake	O
http://t.co/Tcirp7hceR	O
http://t.co/LCMDo…	O
QUAKE	O
HITS	O
CALIFORNIA	B-LOCATION
State	O
of	O
emergency	O
issued	O
as	O
officials	O
weigh	O
damage	O
http://t.co/QGFN1lmDHT	O
Mis	O
oraciones	O
para	O
el	O
pueblo	O
chileno	O
"@YourAnonNews	O
Update	O
2	O
deaths	O
reported	O
following	O
earthquake	O
off	O
the	O
coast	O
of	O
Chile.	O
#chilequake"	O
NepalEarthquake	O
death	B-IMPACT
toll	O
officially	O
2000+	B-SEVERITY
officially	O
announced	O
@IBNKHABAR	O
@ibnlive	O
@omar_quraishi	O
@nanditathhakur	O
@india_msm	O
@vibhask1	O
RT	O
@SPoonia777	O
Nepal	I-LOCATION
landmark	O
200	O
years	O
old	O
Dharahara	B-AFFECTED
Tower	I-AFFECTED
collapsed	B-IMPACT
from	O
earthquake	O
Pray	O
for	O
Nepal	I-LOCATION
!	O
#MSGHelpEarthquakeVictims	O
http://…	O
RT	O
@latimes	O
Interactive	O
map	O
See	O
where	O
this	O
morning's	O
quake	O
hit	O
the	O
Bay	B-LOCATION
Area	I-LOCATION
and	O
where	O
it	O
caused	O
damage	B-IMPACT
http://t.co/NDP9hpTLOE	O
http://t.co…	O
RT	O
@YahooNews	O
VIDEO	O
Inside	O
an	O
apartment	O
during	O
major	O
m7.8	O
earthquake	O
aftershock	O
in	O
Iquique	B-LOCATION
Chile	B-LOCATION
http://t.co/qIRdqdy0sp	O
Learn	O
about	O
#Mountain	O
#Ecosystems	O
#EarthQuake	O
#Nepal	O
1Miin	O
42	O
Sec	O
http://t.co/1LiJ7qg3QB	O
RT	O
@LondonFire	O
5	O
London	B-LOCATION
Firefighters	O
have	O
been	O
deployed	O
to	O
#Nepal	O
as	O
part	O
of	O
the	O
#earthquake	O
rescue	O
effort	O
http://t.co/0bMwue8LWP	O
http://t…	O
#anonymous	O
#anonops	O
Earthquake	O
South	B-LOCATION
America	I-LOCATION
Chile	B-LOCATION
EDIS	O
Number	O
EQ	O
20140402	O
43216	O
CHL	O
Date	O
/	O
time	O
02/04/201...	O
http://t.co/nZsM3xDmKA	O
5	B-SEVERITY
deaths	B-IMPACT
reported	O
in	O
8.2	O
magnitude	O
earthquake	O
that	O
hit	O
off	O
Chile.	O
All	O
tsunami	O
warnings	O
and	O
watches	O
was	O
canceled	O
http://t.co/WMtN0NwPg4	O
Given	O
the	O
price	O
of	O
the	O
area	O
this	O
isn't	O
a	B-LOCATION
surprise.	O
Napa	I-LOCATION
earthquake	O
could	O
cost	O
insurers	B-AFFECTED
$2.1B	B-SEVERITY
cat	O
bonds	O
likely	O
safe	O
http://t.co/tQ10KKZwZr	O
Experts	O
gathered	O
in	O
nepal	B-LOCATION
a	I-LOCATION
week	O
ago	O
and	O
then	O
the	O
disaster	O
happens....i	O
bet	O
they	O
made	O
sure	O
their	O
family	O
members	O
knew	O
RT	O
@everyEarthquake	O
USGS	O
reports	O
a	B-LOCATION
M5.2	O
#earthquake	O
29km	B-MODIFIER
ESE	I-MODIFIER
of	I-MODIFIER
Lamjung	B-LOCATION
Nepal	B-LOCATION
on	O
4/25/15	O
@	O
12:44:04	O
UTC	O
http://t.co/XI0ksF0eOD	O
#quake	O
8.2	O
#earthquake	O
#chile	O
#ChileEarthquake	O
sparks	O
#tsunami	O
warning.	O
More	O
on	O
this	O
here	O
http://t.co/XcxZXVyiJT	O
Nepalese	O
Dig	O
With	O
Bare	O
Hands	O
for	O
Earthquake	O
Survivors	O
Rescuers	O
dug	O
with	O
their	O
bare	O
hands	O
and	O
bodies	B-AFFECTED
piled	O
up	O
in	O
Nepal	B-LOCATION
today	O
after	O
an...	O
RT	O
@cnnbrk	O
At	O
least	O
13	B-SEVERITY
dead	B-IMPACT
after	O
avalanches	O
at	O
Mount	B-LOCATION
Everest	I-LOCATION
authorities	O
say.	O
#NepalQuake	O
http://t.co/CaaLOYg9f2	O
http://t.co/kfZNieLlGX	O
#Pakistan	O
Animation	O
of	O
tsunami	O
from	O
northern	O
Chile	B-LOCATION
earthquake	O
Hawaii	B-LOCATION
under	O
advisory	O
Washington	O
Post	O
(blog):...	O
http://t.co/sUDtYq2kJl	O
RT	O
@sfkale	O
Stark	O
before	O
and	O
after	O
photos	O
show	O
extent	O
of	O
#napaquake	O
damage.	O
http://t.co/Yovh6vr8fZ	O
http://t.co/Us7N4egfn1	O
Report	O
describing	O
levels	O
of	O
#NepalQuake	O
destruction	O
in	O
Tibet	B-LOCATION
from	O
a	B-LOCATION
Chinese	O
online	O
paper	O
http://t.co/ojk29YA9mF	O
China	B-LOCATION
Rushes	O
Aid	O
to	O
Nepal;	O
Taiwan	B-LOCATION
Is	O
Turned	O
Away	O
http://t.co/hEseSA6qyd	O
Jawbone	O
sleep	O
tracking	O
data	O
shows	O
who	O
was	O
jolted	O
awake	O
by	O
the	O
Napa	B-LOCATION
earthquake	O
http://t.co/IgsxlAn16p	O
by	O
@chrisgayomali	O
via	O
@FastCompany	O
RT	O
@sosfirstaidbc	O
All	O
this	O
#earthquake	O
activity	O
#chile	O
#California	O
reminder	O
for	B-LOCATION
#Vancouver	O
make	O
investment	O
in	O
grab	O
n	I-LOCATION
go	O
kits	O
#BePrepared	O
#Pakistan	O
Pakistan	I-LOCATION
earthquake	O
region	O
struck	O
again	O
The	O
Independent	O
The	O
IndependentPakistan	O
earthquake	O
region...	O
http://t.co/4RwTMrsydY	O
RT	O
@WSJ	O
Hindus	O
bear	O
loved	O
ones’	O
bodies	O
to	O
Nepal	B-LOCATION
holy	O
site.	O
“Nobody	O
will	O
love	O
me	O
as	O
much	O
as	O
she	O
did”	O
http://t.co/OxhJubLvkp	O
http://t.co/rUy…	O
Economic	O
Impact	O
Of	O
Nepal	I-LOCATION
Quake	O
Likely	O
To	O
Be	O
Massive	O
One	O
estimate	O
puts	O
the	O
reconstruction	O
at	O
more	O
than	O
$5	O
bill...	O
http://t.co/T3lEO63JOa	O
White	O
House	O
U.S.	O
'stands	O
ready	O
to	O
help'	O
Chile	B-LOCATION
after	O
earthquake	O
The	O
U.S.	O
government	O
is	O
prepared	O
to	O
...	O
http://t.co/b5lV4fUtlI	O
#airforce	O
